,Unnamed: 0,timestamp,mx,my,mz,mAc
129,69.0,11900.0,58.55,11.21,66.05,ACCURACY_BAD
130,65.0,11500.0,59.93,-9.47,62.87,ACCURACY_BAD
131,66.0,11600.0,58.55,-3.11,65.63,ACCURACY_BAD
132,67.0,11700.0,59.93,2.75,65.4,ACCURACY_BAD
133,68.0,11800.0,57.18,6.65,66.72,ACCURACY_BAD
134,69.0,11900.0,58.55,11.21,66.05,ACCURACY_BAD
135,70.0,12000.0,60.65,15.59,63.89,ACCURACY_BAD
136,71.0,12100.0,62.75,15.77,63.29,ACCURACY_BAD
137,72.0,12200.0,62.03,17.52,62.39,ACCURACY_BAD
138,73.0,12300.0,66.23,21.05,62.81,ACCURACY_BAD
139,74.0,12400.0,66.9,21.47,61.61,ACCURACY_BAD
140,70.0,12000.0,60.65,15.59,63.89,ACCURACY_BAD
141,71.0,12100.0,62.75,15.77,63.29,ACCURACY_BAD
142,72.0,12200.0,62.03,17.52,62.39,ACCURACY_BAD
143,73.0,12300.0,66.23,21.05,62.81,ACCURACY_BAD
144,74.0,12400.0,66.9,21.47,61.61,ACCURACY_BAD
145,75.0,12500.0,69.72,25.55,57.95,ACCURACY_BAD
146,76.0,12600.0,71.81,25.31,58.55,ACCURACY_BAD
147,77.0,12700.0,71.09,25.55,57.95,ACCURACY_BAD
148,78.0,12800.0,71.09,27.47,56.39,ACCURACY_BAD
149,79.0,12900.0,70.43,27.47,54.29,ACCURACY_BAD
150,75.0,12500.0,69.72,25.55,57.95,ACCURACY_BAD
151,76.0,12600.0,71.81,25.31,58.55,ACCURACY_BAD
152,77.0,12700.0,71.09,25.55,57.95,ACCURACY_BAD
153,78.0,12800.0,71.09,27.47,56.39,ACCURACY_BAD
154,79.0,12900.0,70.43,27.47,54.29,ACCURACY_BAD
155,80.0,13000.0,66.9,25.92,52.37,ACCURACY_BAD
156,81.0,13100.0,62.03,25.37,60.71,ACCURACY_BAD
157,82.0,13200.0,61.31,18.6,63.53,ACCURACY_BAD
158,83.0,13300.0,59.27,18.0,63.29,ACCURACY_BAD
159,84.0,13400.0,58.55,20.76,61.37,ACCURACY_BAD
160,80.0,13000.0,66.9,25.92,52.37,ACCURACY_BAD
161,81.0,13100.0,62.03,25.37,60.71,ACCURACY_BAD
162,82.0,13200.0,61.31,18.6,63.53,ACCURACY_BAD
163,83.0,13300.0,59.27,18.0,63.29,ACCURACY_BAD
164,84.0,13400.0,58.55,20.76,61.37,ACCURACY_BAD
165,85.0,13500.0,60.65,22.73,59.87,ACCURACY_BAD
166,86.0,13600.0,62.03,28.37,58.13,ACCURACY_BAD
167,87.0,13700.0,66.23,31.13,54.05,ACCURACY_BAD
168,88.0,13800.0,69.72,33.29,49.79,ACCURACY_BAD
169,89.0,13900.0,76.01,35.09,41.87,ACCURACY_BAD
170,85.0,13500.0,60.65,22.73,59.87,ACCURACY_BAD
171,86.0,13600.0,62.03,28.37,58.13,ACCURACY_BAD
172,87.0,13700.0,66.23,31.13,54.05,ACCURACY_BAD
173,88.0,13800.0,69.72,33.29,49.79,ACCURACY_BAD
174,89.0,13900.0,76.01,35.09,41.87,ACCURACY_BAD
175,90.0,14000.0,75.29,32.21,37.38,ACCURACY_BAD
176,91.0,14100.0,78.77,28.73,34.79,ACCURACY_BAD
177,92.0,14200.0,82.97,28.26,31.79,ACCURACY_BAD
178,93.0,14300.0,87.18,24.0,29.03,ACCURACY_BAD
179,94.0,14400.0,87.83,18.89,26.69,ACCURACY_BAD
180,90.0,14000.0,75.29,32.21,37.38,ACCURACY_BAD
181,91.0,14100.0,78.77,28.73,34.79,ACCURACY_BAD
182,92.0,14200.0,82.97,28.26,31.79,ACCURACY_BAD
183,93.0,14300.0,87.18,24.0,29.03,ACCURACY_BAD
184,94.0,14400.0,87.83,18.89,26.69,ACCURACY_BAD
185,95.0,14500.0,88.55,16.5,25.13,ACCURACY_BAD
186,96.0,14600.0,87.18,16.02,22.13,ACCURACY_BAD
187,97.0,14700.0,85.08,17.1,18.95,ACCURACY_BAD
188,98.0,14800.0,78.05,22.26,16.44,ACCURACY_BAD
189,99.0,14900.0,75.29,19.02,17.45,ACCURACY_BAD
190,95.0,14500.0,88.55,16.5,25.13,ACCURACY_BAD
191,96.0,14600.0,87.18,16.02,22.13,ACCURACY_BAD
192,97.0,14700.0,85.08,17.1,18.95,ACCURACY_BAD
193,98.0,14800.0,78.05,22.26,16.44,ACCURACY_BAD
194,99.0,14900.0,75.29,19.02,17.45,ACCURACY_BAD
195,100.0,15000.0,74.58,25.43,20.27,ACCURACY_BAD
196,101.0,15100.0,72.47,24.11,21.95,ACCURACY_BAD
197,102.0,15200.0,73.19,20.52,17.27,ACCURACY_BAD
198,103.0,15300.0,71.81,19.02,15.35,ACCURACY_BAD
199,104.0,15400.0,71.09,15.0,11.93,ACCURACY_BAD
200,100.0,15000.0,74.58,25.43,20.27,ACCURACY_BAD
201,101.0,15100.0,72.47,24.11,21.95,ACCURACY_BAD
202,102.0,15200.0,73.19,20.52,17.27,ACCURACY_BAD
203,103.0,15300.0,71.81,19.02,15.35,ACCURACY_BAD
204,104.0,15400.0,71.09,15.0,11.93,ACCURACY_BAD
205,105.0,15500.0,72.47,11.21,10.01,ACCURACY_BAD
206,106.0,15600.0,72.47,8.22,8.27,ACCURACY_BAD
207,107.0,15700.0,71.09,2.46,5.69,ACCURACY_BAD
208,108.0,15800.0,69.0,-1.62,2.93,ACCURACY_BAD
209,109.0,15900.0,71.09,-5.15,2.51,ACCURACY_BAD
210,105.0,15500.0,72.47,11.21,10.01,ACCURACY_BAD
211,106.0,15600.0,72.47,8.22,8.27,ACCURACY_BAD
212,107.0,15700.0,71.09,2.46,5.69,ACCURACY_BAD
213,108.0,15800.0,69.0,-1.62,2.93,ACCURACY_BAD
214,109.0,15900.0,71.09,-5.15,2.51,ACCURACY_BAD
215,110.0,16000.0,69.72,-6.65,2.7,ACCURACY_BAD
216,111.0,16100.0,66.9,-7.07,1.86,ACCURACY_BAD
217,112.0,16200.0,66.9,-9.47,2.46,ACCURACY_BAD
218,113.0,16300.0,65.51,-8.46,1.43,ACCURACY_BAD
219,114.0,16400.0,65.51,-8.46,1.43,ACCURACY_BAD
220,110.0,16000.0,69.72,-6.65,2.7,ACCURACY_BAD
221,111.0,16100.0,66.9,-7.07,1.86,ACCURACY_BAD
222,112.0,16200.0,66.9,-9.47,2.46,ACCURACY_BAD
223,113.0,16300.0,65.51,-8.46,1.43,ACCURACY_BAD
224,114.0,16400.0,65.51,-8.46,1.43,ACCURACY_BAD
225,115.0,16500.0,66.9,-6.48,2.09,ACCURACY_BAD
226,116.0,16600.0,69.0,-6.48,2.03,ACCURACY_BAD
227,117.0,16700.0,70.43,6.59,4.19,ACCURACY_BAD
228,118.0,16800.0,69.72,8.81,6.35,ACCURACY_BAD
229,119.0,16900.0,70.43,9.42,6.59,ACCURACY_BAD
230,115.0,16500.0,66.9,-6.48,2.09,ACCURACY_BAD
231,116.0,16600.0,69.0,-6.48,2.03,ACCURACY_BAD
232,117.0,16700.0,70.43,6.59,4.19,ACCURACY_BAD
233,118.0,16800.0,69.72,8.81,6.35,ACCURACY_BAD
234,119.0,16900.0,70.43,9.42,6.59,ACCURACY_BAD
235,120.0,17000.0,69.72,8.51,4.85,ACCURACY_BAD
236,121.0,17100.0,69.72,8.51,4.85,ACCURACY_BAD
237,122.0,17200.0,70.43,6.59,4.19,ACCURACY_BAD
238,123.0,17300.0,69.72,4.73,0.83,ACCURACY_BAD
239,124.0,17400.0,68.33,1.67,1.19,ACCURACY_BAD
240,120.0,17000.0,69.72,8.51,4.85,ACCURACY_BAD
241,121.0,17100.0,69.72,8.51,4.85,ACCURACY_BAD
242,122.0,17200.0,70.43,6.59,4.19,ACCURACY_BAD
