,Unnamed: 0,sp_mean_ax,sp_mean_ay,sp_mean_az,sp_mean_acc_magnitude,sp_var_ax,sp_var_ay,sp_var_az,sp_var_acc_magnitude,sp_cov_a_xy,sp_cov_a_yz,sp_cov_a_xz,sp_cov_a_xmag,sp_cov_a_ymag,sp_cov_a_zmag,sp_energy_ax,sp_energy_ay,sp_energy_az,sp_energy_acc_magnitude,sp_entropy_ax,sp_entropy_ay,sp_entropy_az,sp_entropy_acc_magnitude,Unnamed: 0,sw_mean_ax,sw_mean_ay,sw_mean_az,sw_mean_acc_magnitude,sw_var_ax,sw_var_ay,sw_var_az,sw_var_acc_magnitude,sw_cov_a_xy,sw_cov_a_yz,sw_cov_a_xz,sw_cov_a_xmag,sw_cov_a_ymag,sw_cov_a_zmag,sw_energy_ax,sw_energy_ay,sw_energy_az,sw_energy_acc_magnitude,sw_entropy_ax,sw_entropy_ay,sw_entropy_az,sw_entropy_acc_magnitude
10,10,6.0724137624104815,-7.255348920822143,0.5116409117976825,9.608481468187145,0.7794468866103851,1.0024878028242012,0.9774479005919292,0.12471758614715275,0.7651450319181253,0.4101501835728256,0.5579978585646868,0.12611889113195762,-0.02295843013961761,0.03017205628485245,1.9899930616299688,2.099530510721551,1.9850410442668351,1.2964823711214664,3.1336267678423946,3.106461615684481,3.0181307834932136,3.2127671114103125,10,7.950392670432726,-0.6606583595275879,-4.751986233393351,9.90865407667497,16.93440078895815,4.173447129941364,3.513439838636899,12.254212550539696,0.7028403714177397,-0.8228423005231966,-1.2949239937211237,13.934141131366935,0.7984895655992438,-2.1147329689378567,4.045194939373176,2.8581061620621164,2.9484101681271078,3.7322879597361256,3.0162165580080336,3.0052791112089,3.1542748330993406,3.004892423965265
11,11,5.589064359664917,-7.663580258687338,0.7485471655925114,9.548978324399119,0.14356416141485845,0.3093115089927988,0.3176457261137831,0.09338893144341832,0.13625153724081354,-0.017584309605353284,0.043192918736424515,-0.015679010313968848,-0.1412895224310029,-0.015684546755473375,1.3237427737729262,1.5278360069341457,1.6886146548469771,1.1842460966027482,3.165488339935614,3.0505714691296166,3.2834292774715066,3.1596142904248663,11,7.898069488008818,-2.2024337768554694,-4.027838353315989,9.878200506441267,12.269807474680311,6.9750442429924115,4.7092913344258935,9.341921742274216,0.6404582068280338,-2.259273820561707,-3.2465212203591385,10.393995549750178,0.3824729857332713,-2.809503695837404,3.982998045945784,3.1932410212779905,2.9080194349393063,3.7054328299191917,3.1420701096822428,2.9619787119282623,2.9833673584536435,3.1396991648003123
12,12,5.1344054301579805,-8.028656164805094,0.5779403413335482,9.66168630428442,1.0057070317273265,0.5369735667326826,1.2970598760836591,0.5714008845183106,0.07769647584958275,0.029781529035333324,0.30904508077867393,0.4098110456509471,-0.4178368273535004,-0.1705805471769077,2.1963569885467527,1.8667762424952823,2.231950849692323,1.8800249477998188,3.1844244574819887,3.1726386392540653,3.094954374779057,3.138790388568742,12,8.271349700291951,-3.2133215149243672,-3.478047374884288,9.83744294256485,5.1188056823576815,2.7241043764413644,2.9740303783156268,4.674379316269216,0.42303100010013617,-1.4521547666311672,-1.8271632618958689,4.684553053798878,-0.09621751976809058,-1.6009374435397916,3.134885424245069,2.5601227872575305,2.5979306982174157,3.0418909364464235,3.110169734824737,3.021111700880057,2.9558914616575134,3.105735843803336
13,13,4.792992281913757,-8.265103530883787,0.17284141083558402,9.663544069227543,0.916002340339042,0.4774054081748449,1.3135139876205044,0.5660612872819999,0.006418210351902136,-0.003910724805009965,0.29892114905069544,0.4517240331339664,-0.3841764558694044,-0.14168091505318275,2.1174188954224102,1.8245291499177247,2.2201085206718263,1.86680080078795,3.1477991202510296,3.171562577924338,3.0579425195535936,3.1232964524733675,13,8.43278538386027,-2.498585353295008,-4.195176331202188,10.029621947224603,6.7335521770937525,6.486982723783684,1.5851778481387502,8.972250138923814,-2.3975772655022265,-2.004727212786273,1.061336009376889,7.398363631827798,-4.248703834569261,-2.753753346393496,3.4737604024411186,3.3914171391532992,2.439498291268384,3.693663282304068,3.1711832514854135,3.113880938959959,3.1938533968198506,3.1354073334306136
14,14,4.800154940287272,-8.336071554819743,0.20638018759588397,9.649915243802992,0.08537920782895228,0.03334723203804811,0.4795175276495081,0.03269740243705277,0.04354775580652937,-0.023437550971277258,-0.06927323754003273,-0.003489122594749234,-0.01957228688720044,0.11432543546527706,1.15877557857515,0.9531789728125428,1.9135247485288591,0.9829401008960129,3.17188414168136,3.2612527566528366,3.33325361582672,3.342108389116785,14,7.497191842397053,-0.7521438876787822,-4.3657048861185705,10.1143034624679,8.767429891660957,23.650556528909306,2.13593607782388,7.175147227290932,-11.439435843735875,1.1313360302270783,-3.1195889493259874,5.426387587850599,-5.543760178475676,-1.7974385313601435,3.5544365676644523,4.167204014401887,2.562515349649391,3.4669022420775137,3.0674043258281163,2.8770022768988546,3.133450632267317,3.10631456237831
15,15,4.664323878288268,-8.192060391108193,0.8204929283509652,9.569639363732813,0.29354737157367417,0.3650574259075051,1.6943136400249268,0.2435892513370939,0.0676273183425843,-0.4091308918061666,0.06455606942237108,0.004696372538150132,-0.2740866548267395,0.02393779875191303,1.61406649225474,1.6634117817757494,2.1678911083119754,1.5082913923936632,3.2125541150072334,3.148121610854504,2.883363915982984,3.1577152473702323,15,8.024250920613607,0.8943573256333669,-3.5801412269473074,10.216467328563683,6.628912126799852,18.774802115178048,3.326702610061313,1.4507800163436733,-6.359740084662024,3.923153905484928,-4.760942742800067,1.3252006531433616,-0.06672876160148751,0.2424613991409625,2.9165967838436946,3.7595137701419294,2.581775290778554,2.3538570460069703,2.764018166226509,2.7880100180699303,2.863317060084928,3.177437451661135
16,16,4.581843670209249,-7.976263093948363,1.019490992029508,9.369384951058288,0.5469671976939838,0.4087003916711393,1.635272874922995,0.3854768958375777,0.06052393188081207,-0.2807641008881905,0.0822792048151296,0.17682165632688387,-0.31916780200330425,0.04578373002646139,1.8668137909814932,1.6810777572677884,2.2835231076077145,1.7501587447120126,3.178308357826976,3.135101639111262,3.0606722959936983,3.2495767896961603,16,9.25591656366984,-0.8228917360305786,-2.8187450180451075,10.27502408391526,3.7841283633004505,9.803474169511324,1.8663102244231868,3.783235992987365,-0.7630246486382112,0.5142711947700098,-1.178944817461422,3.6850922797776495,-0.867522575317039,0.297568145255015,3.00072641478306,3.667351362214523,2.2875149729635726,3.0045366501218407,3.1404434898582343,3.0927781815218847,2.9563359232240742,3.1477182270165884
17,17,4.518836259841919,-8.27521899541219,0.2756324763099353,9.504056486410306,0.4498205083220636,0.2476080951341193,0.9384811237559276,0.237303655224316,0.0795864854183822,0.13994981533673498,0.22267635225636875,0.1763292343601352,-0.16184170829635738,-0.04942607414443166,1.773980576030329,1.3720113946478938,1.8362219436476868,1.4981263300741234,3.1989361451012486,2.9605488715110875,2.909296069542201,3.1700844557935315,17,8.480004036426545,-1.9590836405754088,-4.384049726029237,10.273991787845436,9.545764262395199,4.8416533832185635,3.528777285107304,6.9646038053716435,-4.382207812590366,1.132836159301477,-2.446112755448063,7.48802250963208,-2.61532733498387,-0.4148295000910755,3.7858503468523943,3.317858311898209,3.0008630796020275,3.433822432359688,3.1685978149901017,3.255927024337482,3.2252288424254942,3.093577310693493
18,18,4.968527126312256,-8.348262151082357,-0.620058324187994,9.868935556033712,1.5616540956122815,0.9428268565764634,0.6656202547463691,0.44767989418682,0.8285665347534007,-0.3420004040391429,0.16000228712234807,0.3625548208781085,-0.2284655591234603,-0.39130401631414496,2.1885382481240225,2.1597769537397817,1.886981710241264,1.730332261081235,2.920878153841568,3.2145477389988035,3.1319857944384015,3.101206745813052,18,8.079126334190368,0.5389434287945429,-5.422614479064942,10.526776171745514,9.316252633722426,9.206755538440046,2.9031518977212625,5.03423616828182,-3.9187903892110345,0.5071991007554572,-0.4086512488436354,5.7310298470462,-1.1597488673943257,-1.3669195067249384,3.5023575059191674,3.4144514615357697,2.8154840442095628,3.0836972970551875,3.0219567616820058,2.9669275395520933,3.160663410531574,3.081610610448112
19,19,6.225084050496418,-7.245652484893799,-0.8485449853042761,9.830185414701793,2.019522216331437,1.9755460276394403,1.315202306359834,0.4881684871532315,1.6170864281517323,-0.4022671016705908,0.023925046444865962,0.09257961149167453,-0.4936831299477582,-0.3013174812657159,2.155074272389371,2.2832117432285304,2.343882693882419,1.7556633252515732,2.8051006614777587,2.9860677635849058,3.2144656236321776,3.1143410109310854,19,8.290332853794098,2.3282962108651803,-4.902893527348836,10.608117840786454,10.441773787863527,5.683081361379965,2.278039260339051,3.5650836048248884,-5.957327464590678,1.3519677963966426,-0.6034953565697462,4.986240218464332,-2.2364526867812717,-0.5453002167904282,3.8329598271396312,3.2784741657904584,2.6889626634774237,2.893099450775513,3.155361757646853,3.0985505184070923,3.2204686827467808,3.1404207934106227
20,20,6.605961656570433,-6.751269753774007,-1.122122448682785,9.645358937443484,0.8410656665214783,0.6461180293317377,1.2151952535634696,0.05884355702305018,0.6611743938209242,-0.10069002089514777,-0.17480436530048676,0.03764221891627608,-0.04602685800588811,0.07746902035994638,1.9636894869660104,1.697318922712568,2.3484507967861825,1.0759091149319489,3.068472868219458,2.815912075174216,3.247273826199621,3.2027547623668213,20,7.505327574412028,2.9045676226417223,-4.686024141311647,9.96778247376414,10.86852806644386,4.6633011916973555,1.3868867973481571,3.8517400717694175,-5.0540312409767045,1.7107268730828205,-0.4502397363661225,5.924000443644277,-2.194715345554628,0.5341666980423843,3.8213307431267474,3.0645847408316733,2.393885412826509,3.0275904156243696,3.1170334759814886,3.096015848036157,3.2309356360885686,3.1715808965102177
21,21,6.439983590443928,-7.0270418802897145,-0.9188946137825648,9.697212565485387,0.5590584782186402,0.40124338699512063,1.7134004423310183,0.2541940353691969,0.1769820582491213,-0.0250737905884182,-0.1335599965410923,0.1761689327576358,-0.20089048494017595,0.07695342722953613,1.869522325619516,1.7659097798258836,2.439633489357785,1.5615340565124387,3.1850903589309145,3.2454594497453595,3.1441320161203805,3.214308114757732,21,7.866643857955933,1.6879768391450247,-3.192344462871552,9.672742002043607,6.42218357203956,8.409553014099634,7.472594614770231,3.0241347135996213,-3.227044178621361,2.4726819680132888,-6.170791241787682,3.8234558006309,-0.6226378075566653,0.01599272246152043,3.37759723880153,3.3500566557839386,3.4788992890419705,2.758746427181796,3.118254630151708,3.0198699942589853,3.152947494319523,3.0741614981058447
22,22,6.284759473800659,-7.078956143061321,0.5936622709035874,9.62316556954904,0.4969575229452002,0.33919354852175,2.2216110627128893,0.3235632016139493,0.047832723126279085,-0.4970150471450013,-0.2377288129437172,0.2551441196774501,-0.2253549332313901,-0.1101831284772206,1.7679140612107247,1.696507753906506,2.4096088346053093,1.6565375119258323,3.1020316242372523,3.249946072380453,2.9976579298831525,3.1958077841089034,22,8.92794041633606,-1.82293199300766,-1.9464814603328704,9.9538533104571,3.741544406373081,6.086970238096173,5.919604981879218,3.0661839140377576,0.4271651507853929,-0.018391980187953464,-3.4014445479420328,3.1959150151188767,0.16128298170763014,-0.2484823725414387,2.9963090586640955,2.9985293282860286,2.8784046541293997,2.828708449566183,3.1728216904334645,2.9468255513610315,2.8388902908534273,3.1610446114965995
