,timestamp,light,timestamp,uv,timestamp,gx,gy,gz,timestamp,mx,my,mz,mAc,timestamp,ax,ay,az,timestamp,pressure
2266,119100.0,38.0,119100.0,0.0,119100.0,-38.088958740234375,0.061039999127388,-13.123600006103516,119100.0,18.0,-8.51,12.42,ACCURACY_VERYGOOD,119100.0,-3.3643085956573486,4.1563329696655265,-8.621339797973633,119100.0,1001.82
2267,119200.0,40.0,119200.0,0.0,119200.0,-32.900558471679695,8.484560012817383,-6.470240116119385,119200.0,18.71,-9.59,11.27,ACCURACY_VERYGOOD,119200.0,-3.641876220703125,3.4983065128326416,-8.070990562438965,119200.0,1001.81
2268,119300.0,40.0,119300.0,0.0,119300.0,-32.900558471679695,8.484560012817383,-6.470240116119385,119300.0,20.1,-8.88,13.67,ACCURACY_VERYGOOD,119300.0,-3.641876220703125,3.4983065128326416,-8.070990562438965,119300.0,1001.81
2269,119400.0,39.0,119400.0,0.0,119400.0,76.17791748046875,13.001520156860352,-0.976639986038208,119400.0,18.0,-7.31,15.59,ACCURACY_VERYGOOD,119400.0,-3.905086755752564,4.553541660308838,-8.085347175598145,119400.0,1001.8
2270,119500.0,39.0,119500.0,0.0,119500.0,76.17791748046875,13.001520156860352,-0.976639986038208,119500.0,18.0,-5.4,16.26,ACCURACY_VERYGOOD,119500.0,-3.905086755752564,4.553541660308838,-8.085347175598145,119500.0,1001.8
2271,119600.0,39.0,119600.0,0.0,119600.0,76.17791748046875,13.001520156860352,-0.976639986038208,119600.0,19.37,-6.42,17.27,ACCURACY_VERYGOOD,119600.0,-3.905086755752564,4.553541660308838,-8.085347175598145,119600.0,1001.79
2272,119700.0,39.0,119700.0,0.0,119700.0,44.86439895629883,-17.274320602416992,40.1643180847168,119700.0,19.37,-7.31,15.59,ACCURACY_VERYGOOD,119700.0,-4.144368648529054,0.8255237936973572,-8.396414756774902,119700.0,1001.79
2273,119800.0,36.0,119800.0,0.0,119800.0,44.86439895629883,-17.274320602416992,40.1643180847168,119800.0,20.1,-10.19,13.25,ACCURACY_VERYGOOD,119800.0,-4.144368648529054,0.8255237936973572,-8.396414756774902,119800.0,1001.78
2274,119900.0,36.0,119900.0,0.0,119900.0,-18.18992042541504,-14.527520179748535,8.850799560546875,119900.0,20.1,-11.51,12.77,ACCURACY_VERYGOOD,119900.0,-3.38823676109314,0.7489535212516785,-9.351150512695312,119900.0,1001.78
2275,120000.0,34.0,120000.0,0.0,120000.0,-18.18992042541504,-14.527520179748535,8.850799560546875,120000.0,20.1,-11.09,11.57,ACCURACY_VERYGOOD,120000.0,-3.38823676109314,0.7489535212516785,-9.351150512695312,120000.0,1001.79
2276,120100.0,34.0,120100.0,0.0,120100.0,-27.162799835205078,3.2351200580596924,-19.349679946899414,120100.0,19.37,-11.57,10.61,ACCURACY_VERYGOOD,120100.0,-3.0484561920166016,1.8855443000793457,-8.83669376373291,120100.0,1001.79
