,timestamp,mx,my,mz,mAc
146,19600.0,64.13,-16.02,-6.53,ACCURACY_BAD
147,19700.0,62.75,-17.52,-6.35,ACCURACY_BAD
148,19800.0,63.41,-15.17,-7.01,ACCURACY_BAD
149,19900.0,62.75,-12.71,-5.51,ACCURACY_BAD
150,20000.0,62.03,-11.63,-6.59,ACCURACY_BAD
151,20100.0,62.75,-15.53,-7.85,ACCURACY_BAD
152,20200.0,62.03,-13.13,-6.35,ACCURACY_BAD
153,20300.0,62.03,-11.88,-5.94,ACCURACY_BAD
154,20400.0,65.51,-6.17,-7.67,ACCURACY_BAD
155,20500.0,66.9,-3.77,-8.27,ACCURACY_BAD
156,20600.0,68.33,2.03,-8.51,ACCURACY_BAD
157,20700.0,69.72,4.44,-7.01,ACCURACY_BAD
158,20800.0,70.43,5.94,-7.25,ACCURACY_BAD
159,20900.0,71.81,5.03,-8.93,ACCURACY_BAD
160,21000.0,69.0,3.53,-8.69,ACCURACY_BAD
161,21100.0,70.43,-2.93,-8.69,ACCURACY_BAD
162,21200.0,67.61,-7.98,-8.93,ACCURACY_BAD
163,21300.0,67.61,-11.03,-8.46,ACCURACY_BAD
164,21400.0,62.75,-14.09,-10.26,ACCURACY_BAD
165,21500.0,60.65,-16.97,-10.43,ACCURACY_BAD
166,21600.0,59.27,-19.97,-7.85,ACCURACY_BAD
167,21700.0,58.55,-19.79,-10.61,ACCURACY_BAD
168,21800.0,57.84,-16.26,-10.19,ACCURACY_BAD
169,21900.0,56.45,-18.05,-11.51,ACCURACY_BAD
170,22000.0,57.18,-15.65,-9.96,ACCURACY_BAD
171,22100.0,55.07,-15.17,-9.11,ACCURACY_BAD
172,22200.0,57.18,-18.95,-13.19,ACCURACY_BAD
173,22300.0,59.93,-17.15,-11.93,ACCURACY_BAD
174,22400.0,64.86,-3.89,-12.59,ACCURACY_BAD
175,22500.0,67.61,2.81,-13.25,ACCURACY_BAD
176,22600.0,69.0,4.55,-14.03,ACCURACY_BAD
177,22700.0,69.72,4.55,-14.03,ACCURACY_BAD
178,22800.0,71.09,3.24,-14.51,ACCURACY_BAD
179,22900.0,71.81,0.83,-15.96,ACCURACY_BAD
180,23000.0,71.09,-1.43,-15.35,ACCURACY_BAD
181,23100.0,70.43,-6.11,-16.85,ACCURACY_BAD
182,23200.0,70.43,-7.37,-17.27,ACCURACY_BAD
183,23300.0,66.23,-6.59,-22.02,ACCURACY_BAD
184,23400.0,64.86,-7.91,-22.43,ACCURACY_BAD
185,23500.0,62.03,-14.21,-18.77,ACCURACY_BAD
186,23600.0,62.75,-17.27,-18.35,ACCURACY_BAD
187,23700.0,62.03,-16.68,-18.11,ACCURACY_BAD
188,23800.0,62.03,-17.1,-18.95,ACCURACY_BAD
189,23900.0,62.75,-13.79,-20.03,ACCURACY_BAD
190,24000.0,62.75,-9.89,-20.93,ACCURACY_BAD
191,24100.0,64.13,-5.51,-20.87,ACCURACY_BAD
192,24200.0,65.51,3.17,-18.77,ACCURACY_BAD
193,24300.0,71.09,13.43,-16.85,ACCURACY_BAD
194,24400.0,71.81,14.75,-16.44,ACCURACY_BAD
195,24500.0,73.19,16.07,-16.02,ACCURACY_BAD
196,24600.0,73.91,14.57,-15.77,ACCURACY_BAD
197,24700.0,74.58,14.27,-17.27,ACCURACY_BAD
198,24800.0,72.47,8.81,-18.35,ACCURACY_BAD
199,24900.0,71.81,5.57,-19.37,ACCURACY_BAD
200,25000.0,71.09,1.37,-22.19,ACCURACY_BAD
201,25100.0,69.72,-5.33,-21.6,ACCURACY_BAD
202,25200.0,69.0,-11.03,-24.11,ACCURACY_BAD
203,25300.0,66.9,-13.85,-24.35,ACCURACY_BAD
204,25400.0,68.33,-16.02,-22.19,ACCURACY_BAD
205,25500.0,70.43,-12.71,-21.11,ACCURACY_BAD
206,25600.0,68.33,-7.5,-23.69,ACCURACY_BAD
207,25700.0,65.51,-6.89,-23.45,ACCURACY_BAD
208,25800.0,66.9,-7.5,-23.69,ACCURACY_BAD
209,25900.0,64.86,-8.63,-22.68,ACCURACY_BAD
210,26000.0,63.41,-11.21,-23.51,ACCURACY_BAD
211,26100.0,62.75,-12.77,-23.27,ACCURACY_BAD
212,26200.0,64.86,-12.17,-25.19,ACCURACY_BAD
