,timestamp,pressure
232,28200.0,1000.57
233,28300.0,1000.57
234,28400.0,1000.57
235,28500.0,1000.57
236,28600.0,1000.6
237,28700.0,1000.6
238,28800.0,1000.6
239,28900.0,1000.62
240,29000.0,1000.62
241,29100.0,1000.62
242,29200.0,1000.66
243,29300.0,1000.66
244,29400.0,1000.74
245,29500.0,1000.74
246,29600.0,1000.74
247,29700.0,1000.74
248,29800.0,1001.02
249,29900.0,1001.02
250,30000.0,1001.11
251,30100.0,1001.11
252,30200.0,1001.11
253,30300.0,1001.11
254,30400.0,1000.91
255,30500.0,1000.91
256,30600.0,1000.91
257,30700.0,1000.91
258,30800.0,1000.76
259,30900.0,1000.76
260,31000.0,1000.67
261,31100.0,1000.67
262,31200.0,1000.67
263,31300.0,1000.67
264,31400.0,1000.75
